Average Metric: 38.00 / 50 (76.0%): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 50/50 [00:10<00:00,  4.76it/s]
2025/03/27 14:47:46 INFO dspy.teleprompt.mipro_optimizer_v2: Scores so far: [82.5, 80.0, 77.5, 77.5]
2025/03/27 14:47:46 INFO dspy.teleprompt.mipro_optimizer_v2: Best score so far: 82.5
2025/03/27 14:47:46 INFO dspy.teleprompt.mipro_optimizer_v2: =======================


2025/03/27 14:47:46 INFO dspy.teleprompt.mipro_optimizer_v2: ===== Trial 5 / 7 =====
Average Metric: 32.00 / 40 (80.0%): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 40/40 [00:14<00:00,  2.79it/s]
2025/03/27 14:48:00 INFO dspy.evaluate.evaluate: Average Metric: 32 / 40 (80.0%)
2025/03/27 14:48:00 INFO dspy.teleprompt.mipro_optimizer_v2: Score: 80.0 with parameters ['Predictor 0: Instruction 2', 'Predictor 0: Few-Shot Set 1'].
2025/03/27 14:48:00 INFO dspy.teleprompt.mipro_optimizer_v2: Scores so far: [82.5, 80.0, 77.5, 77.5, 80.0]
2025/03/27 14:48:00 INFO dspy.teleprompt.mipro_optimizer_v2: Best score so far: 82.5
2025/03/27 14:48:00 INFO dspy.teleprompt.mipro_optimizer_v2: =======================


2025/03/27 14:48:00 INFO dspy.teleprompt.mipro_optimizer_v2: ===== Trial 6 / 7 =====
Average Metric: 28.00 / 40 (70.0%): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 40/40 [00:22<00:00,  1.78it/s]
2025/03/27 14:48:23 INFO dspy.evaluate.evaluate: Average Metric: 28 / 40 (70.0%)
2025/03/27 14:48:23 INFO dspy.teleprompt.mipro_optimizer_v2: Score: 70.0 with parameters ['Predictor 0: Instruction 4', 'Predictor 0: Few-Shot Set 3'].
2025/03/27 14:48:23 INFO dspy.teleprompt.mipro_optimizer_v2: Scores so far: [82.5, 80.0, 77.5, 77.5, 80.0, 70.0]
2025/03/27 14:48:23 INFO dspy.teleprompt.mipro_optimizer_v2: Best score so far: 82.5
2025/03/27 14:48:23 INFO dspy.teleprompt.mipro_optimizer_v2: =======================


2025/03/27 14:48:23 INFO dspy.teleprompt.mipro_optimizer_v2: ===== Trial 7 / 7 =====
Average Metric: 33.00 / 40 (82.5%): 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 40/40 [00:17<00:00,  2.32it/s]
2025/03/27 14:48:40 INFO dspy.evaluate.evaluate: Average Metric: 33 / 40 (82.5%)
2025/03/27 14:48:40 INFO dspy.teleprompt.mipro_optimizer_v2: Score: 82.5 with parameters ['Predictor 0: Instruction 0', 'Predictor 0: Few-Shot Set 1'].
2025/03/27 14:48:40 INFO dspy.teleprompt.mipro_optimizer_v2: Scores so far: [82.5, 80.0, 77.5, 77.5, 80.0, 70.0, 82.5]
2025/03/27 14:48:40 INFO dspy.teleprompt.mipro_optimizer_v2: Best score so far: 82.5
2025/03/27 14:48:40 INFO dspy.teleprompt.mipro_optimizer_v2: =======================


2025/03/27 14:48:40 INFO dspy.teleprompt.mipro_optimizer_v2: Returning best identified program with score 82.5!



 0.13 $
